"V1","V2","V3","V4"
9.32679776130948e-08,9.90221978093895e-07,0,0
9.03061230096713e-08,9.5877609924794e-07,0,0
8.73920592092656e-08,9.27837613236162e-07,0,0
8.45257862118776e-08,8.9740652005856e-07,0,0
8.17073040175075e-08,8.67482819715134e-07,0,0
7.89366126261552e-08,8.38066512205885e-07,0,0
7.62137120378207e-08,8.09157597530811e-07,0,0
7.35386022525041e-08,7.80756075689914e-07,0,0
7.09112832702052e-08,7.52861946683194e-07,0,0
6.83317550909242e-08,7.25475210510649e-07,0,0
6.58000177146609e-08,6.9859586717228e-07,0,0
6.33160711414155e-08,6.72223916668088e-07,0,0
6.08799153711879e-08,6.46359358998072e-07,0,0
5.84915504039781e-08,6.21002194162233e-07,0,0
5.61509762397861e-08,5.96152422160569e-07,0,0
5.38581928786119e-08,5.71810042993082e-07,0,0
5.16132003204555e-08,5.47975056659771e-07,0,0
4.94159985653169e-08,5.24647463160636e-07,0,0
4.72665876131962e-08,5.01827262495677e-07,0,0
4.51649674640933e-08,4.79514454664895e-07,0,0
4.31111381180081e-08,4.57709039668289e-07,0,0
4.11050995749408e-08,4.36411017505859e-07,0,0
3.91468518348913e-08,4.15620388177605e-07,0,0
3.72363948978596e-08,3.95337151683528e-07,0,0
3.53737287638457e-08,3.75561308023626e-07,0,0
3.35588534328497e-08,3.56292857197901e-07,0,0
3.17917689048714e-08,3.37531799206353e-07,0,0
3.0072475179911e-08,3.1927813404898e-07,0,0
2.84009722579683e-08,3.01531861725784e-07,0,0
2.67772601390435e-08,2.84292982236764e-07,0,0
2.52013388231365e-08,2.6756149558192e-07,0,0
2.36732083102473e-08,2.51337401761252e-07,0,0
2.21928686003759e-08,2.35620700774761e-07,0,0
2.07603196935223e-08,2.20411392622445e-07,0,0
1.93755615896865e-08,2.05709477304306e-07,0,0
1.80385942888686e-08,1.91514954820344e-07,0,0
1.67494177910684e-08,1.77827825170557e-07,0,0
1.55080320962861e-08,1.64648088354947e-07,0,0
1.43144372045216e-08,1.51975744373513e-07,0,0
1.31686331157749e-08,1.39810793226255e-07,0,0
1.2070619830046e-08,1.28153234913173e-07,0,0
1.10203973473349e-08,1.17003069434268e-07,0,0
1.00179656676416e-08,1.06360296789539e-07,0,0
9.06332479096616e-09,9.62249169789856e-08,0,0
8.1564747173085e-09,8.65969300026089e-08,0,0
7.29741544666867e-09,7.74763358604084e-08,0,0
6.48614697904664e-09,6.88631345523841e-08,0,0
5.72266931444242e-09,6.0757326078536e-08,0,0
5.00698245285601e-09,5.31589104388642e-08,0,0
4.33908639428742e-09,4.60678876333686e-08,0,0
3.71898113873663e-09,3.94842576620492e-08,0,0
3.14666668620366e-09,3.3408020524906e-08,0,0
2.6221430366885e-09,2.78391762219391e-08,0,0
2.14541019019115e-09,2.27777247531484e-08,0,0
1.71646814671161e-09,1.82236661185339e-08,0,0
1.33531690624989e-09,1.41770003180956e-08,0,0
1.00195646880597e-09,1.06377273518336e-08,0,0
7.1638683437987e-10,7.6058472197478e-09,0,0
4.78608002971578e-10,5.08135992183822e-09,0,0
2.88619974581097e-10,3.06426545810486e-09,0,0
1.46422749208429e-10,1.55456382854773e-09,0,0
5.20163268535711e-11,5.52255033166818e-10,0,0
5.4007075165252e-12,5.73390719621362e-11,0,0
1.55751446738888e-10,0,0,0
1.31552174105924e-09,0,0,0
3.60722784263627e-09,0,0,0
7.03086975146997e-09,0,0,0
1.15864474675603e-08,0,0,0
1.72739609909074e-08,0,0,0
2.40934103215111e-08,0,0,0
3.20447954593715e-08,0,0,0
4.11281164044886e-08,0,0,0
5.13433731568623e-08,0,0,0
6.26905657164928e-08,0,0,0
7.51696940833799e-08,0,0,0
8.87807582575236e-08,0,0,0
1.03523758238924e-07,0,0,0
1.19398694027581e-07,0,0,0
1.36405565623495e-07,0,0,0
1.54544373026665e-07,0,0,0
1.73815116237093e-07,0,0,0
1.94217795254776e-07,0,0,0
2.15752410079717e-07,0,0,0
2.38418960711914e-07,0,0,0
